Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
orthopedic-memory-foam-dog-bed,"Orthopedic Memory Foam Dog Bed","<p>Give your dog the deep, restorative sleep they deserve. Our orthopedic memory foam bed features high-density foam that contours to your dog's body, relieving joint pressure and supporting healthy posture. The removable, machine-washable cover is made from durable, water-resistant fabric. Non-slip bottom keeps the bed in place on any surface.</p><ul><li>High-density memory foam core — 4 inches thick</li><li>Removable, machine-washable cover</li><li>Water-resistant and tear-proof fabric</li><li>Non-slip rubber bottom</li><li>Suitable for dogs up to 90 lbs</li></ul><p><strong>Shipping</strong>: Processing 2–4 business days. Delivery 7–14 business days.</p>",PawLux,"Dog Beds","dogs, bed, orthopedic, memory-foam, sleep, joints, bestseller",true,Size,Medium,Color,Gray,PLX-BED-M-GR,2500,50,89.99,129.99,true,true,,Orthopedic memory foam dog bed in gray,PawLux Orthopedic Memory Foam Dog Bed | Joint Support & Deep Sleep,Give your dog restorative sleep with our 4-inch high-density memory foam bed. Removable washable cover. Non-slip base. Free shipping over $75.,active
orthopedic-memory-foam-dog-bed,,,,,,,,Large,,Charcoal,PLX-BED-L-CH,3500,35,109.99,149.99,true,true,,Orthopedic memory foam dog bed in charcoal,,,,
adjustable-no-pull-dog-harness,"Adjustable No-Pull Dog Harness","<p>Walk with confidence using our no-pull harness engineered to distribute pressure evenly across the chest — not the throat. Four adjustment points ensure a custom fit for every breed. Reflective stitching provides visibility during evening walks. Padded chest plate prevents chafing on long outings.</p><ul><li>Front and back leash attachment points</li><li>4-point adjustable straps for custom fit</li><li>Breathable, padded mesh lining</li><li>Reflective stitching for night visibility</li><li>Quick-release buckle</li></ul><p><strong>Shipping</strong>: Processing 1–3 business days. Delivery 7–14 business days.</p>",PawLux,"Dog Harnesses","dogs, harness, no-pull, walking, training, reflective, bestseller",true,Size,Small,Color,Black,PLX-HRN-S-BK,300,80,34.99,49.99,true,true,,Adjustable no-pull dog harness in black,PawLux No-Pull Dog Harness | Adjustable & Reflective,Stop pulling on walks. Our 4-point adjustable no-pull harness distributes pressure evenly. Reflective stitching. Padded mesh. All sizes.,active
adjustable-no-pull-dog-harness,,,,,,,,Medium,,Navy,PLX-HRN-M-NV,400,60,37.99,52.99,true,true,,Adjustable no-pull dog harness in navy,,,,
adjustable-no-pull-dog-harness,,,,,,,,Large,,Forest Green,PLX-HRN-L-FG,500,45,39.99,54.99,true,true,,Adjustable no-pull dog harness in forest green,,,,
natural-calming-dog-treats,"Natural Calming Dog Treats — 60 Count","<p>Veterinarian-formulated calming treats made with chamomile, valerian root, and L-theanine to reduce anxiety during storms, travel, or separation. Soft-baked with real chicken flavor that dogs love. No artificial colors, preservatives, or fillers. Safe for daily use.</p><ul><li>60 soft-baked treats per bag</li><li>Active ingredients: chamomile, valerian root, L-theanine</li><li>Real chicken flavor — no artificial additives</li><li>Works within 30–45 minutes</li><li>Suitable for all breeds and sizes</li></ul><p><strong>Shipping</strong>: Processing 1–2 business days. Delivery 7–14 business days.</p>",PawLux,"Dog Treats","dogs, treats, calming, anxiety, wellness, natural, chicken",true,Size,60 Count,,,PLX-TRT-60,350,120,24.99,34.99,true,true,,Natural calming dog treats 60 count bag,PawLux Natural Calming Dog Treats | Chamomile & Valerian Root,Vet-formulated calming treats with chamomile and valerian root. 60 soft-baked chicken-flavor treats. No artificial additives. Works in 30 min.,active
waterproof-dog-jacket,"Waterproof Dog Jacket — All Seasons","<p>Protect your dog from rain, wind, and cold with our fully waterproof jacket. The outer shell repels water while the fleece-lined interior traps warmth. Adjustable Velcro straps at the chest and belly ensure a snug fit without restricting movement. Reflective trim for safe evening walks. Leash hole on the back for easy attachment.</p><ul><li>100% waterproof outer shell</li><li>Fleece-lined interior for warmth</li><li>Adjustable Velcro chest and belly straps</li><li>Reflective safety trim</li><li>Built-in leash hole</li></ul><p><strong>Shipping</strong>: Processing 2–3 business days. Delivery 7–14 business days.</p>",PawLux,"Dog Apparel","dogs, jacket, waterproof, winter, rain, apparel, outdoor",true,Size,Small,Color,Black,PLX-JKT-S-BK,400,40,44.99,64.99,true,true,,Waterproof dog jacket in black,PawLux Waterproof Dog Jacket | Fleece-Lined & Reflective,Keep your dog dry and warm. Fully waterproof shell with fleece lining. Adjustable fit. Reflective trim. Built-in leash hole. All sizes.,active
waterproof-dog-jacket,,,,,,,,Medium,,Forest Green,PLX-JKT-M-FG,500,35,49.99,69.99,true,true,,Waterproof dog jacket in forest green,,,,
waterproof-dog-jacket,,,,,,,,Large,,Navy,PLX-JKT-L-NV,650,30,54.99,74.99,true,true,,Waterproof dog jacket in navy,,,,
interactive-puzzle-feeder-bowl,"Interactive Puzzle Feeder Bowl","<p>Turn mealtime into brain training. Our puzzle feeder slows eating by up to 80%, reducing bloat and improving digestion. The non-toxic, BPA-free design features maze-like channels that challenge your dog to work for their food. Non-slip rubber base prevents sliding on all floor types. Dishwasher safe for easy cleaning.</p><ul><li>Slows eating by up to 80%</li><li>BPA-free, food-grade material</li><li>Maze-pattern channels for mental stimulation</li><li>Non-slip rubber base</li><li>Dishwasher safe</li></ul><p><strong>Shipping</strong>: Processing 1–2 business days. Delivery 7–14 business days.</p>",PawLux,"Dog Bowls","dogs, bowl, puzzle, feeder, slow-eating, enrichment, mental-stimulation",true,Size,Standard,Color,Green,PLX-BWL-STD-GR,450,70,29.99,39.99,true,true,,Interactive puzzle feeder bowl in green,PawLux Interactive Puzzle Feeder Bowl | Slow Eating & Mental Stimulation,Slow eating by 80% and boost mental stimulation. BPA-free maze-pattern puzzle bowl. Non-slip base. Dishwasher safe. Reduces bloat.,active
interactive-puzzle-feeder-bowl,,,,,,,,Standard,,Blue,PLX-BWL-STD-BL,450,55,29.99,39.99,true,true,,Interactive puzzle feeder bowl in blue,,,,
